"Player","Position","Handedness","Season","Team","Game.ID","Date","Opponent","Venue","Strength","TOI","Goals","xGoals","Assists","A1","A2","P","P1","iSh%","iFSh%","ixFSh%","iSF","iFen","iCorsi","G60","xG60","A60","A160","A260","P60","P160","iSF60","iFen60","iCorsi60","HF","HA","Takeaways","Giveaways","PEND","PENT","Blocks","Faceoff Wins","Faceoff Losses","Faceoff%"
"ADAM CRACKNELL","RW","R","2016","DAL","20171","2016-11-05","CHI","DAL","All Situations","8.92","0","0.06","0","0","0","0","0","0.00","0.00","6.12","1","1","1","0.00","0.41","0.00","0.00","0.00","0.00","0.00","6.73","6.73","6.73","3","0","0","0","0","0","0","0","0",""
"ADAM CRACKNELL","RW","R","2016","DAL","20013","2016-10-13","ANA","DAL","All Situations","9.98","1","0.3","1","1","0","2","2","50.00","33.33","9.97","2","3","5","6.01","1.80","6.01","6.01","0.00","12.02","12.02","12.02","18.04","30.06","2","1","0","1","0","0","0","1","0","100.00"
"ADAM CRACKNELL","RW","R","2016","DAL","20043","2016-10-18","NSH","NSH","All Situations","8.63","1","0.43","0","0","0","1","1","20.00","14.29","6.21","5","7","8","6.95","3.02","0.00","0.00","0.00","6.95","6.95","34.76","48.67","55.62","2","2","0","0","0","0","1","4","2","66.67"
"ADAM CRACKNELL","RW","R","2016","DAL","20104","2016-10-27","WPG","WPG","All Situations","10.00","0","0","0","0","0","0","0","","","","0","0","2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.00","1","0","0","0","0","0","0","2","0","100.00"
"ADAM CRACKNELL","RW","R","2016","DAL","20119","2016-10-29","MIN","MIN","All Situations","10.77","0","0.05","0","0","0","0","0","","0.00","4.82","0","1","1","0.00","0.27","0.00","0.00","0.00","0.00","0.00","0.00","5.57","5.57","0","1","0","1","1","0","0","4","5","44.44"
"ADAM CRACKNELL","RW","R","2016","DAL","20090","2016-10-25","WPG","DAL","All Situations","10.70","0","0.02","0","0","0","0","0","0.00","0.00","1.81","1","1","1","0.00","0.10","0.00","0.00","0.00","0.00","0.00","5.61","5.61","5.61","1","1","0","1","0","0","0","0","0",""
"ADAM CRACKNELL","RW","R","2016","DAL","20154","2016-11-03","STL","DAL","All Situations","7.75","0","0","0","0","0","0","0","","","","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.74","1","0","1","0","0","0","2","2","1","66.67"
"ADAM CRACKNELL","RW","R","2016","DAL","20027","2016-10-15","COL","COL","All Situations","10.75","0","0.08","0","0","0","0","0","0.00","0.00","2.59","2","3","3","0.00","0.43","0.00","0.00","0.00","0.00","0.00","11.16","16.74","16.74","4","0","0","0","1","0","0","0","0",""
"ADAM CRACKNELL","RW","R","2016","DAL","20074","2016-10-22","CBJ","DAL","All Situations","9.52","0","0.22","0","0","0","0","0","0.00","0.00","10.91","1","2","2","0.00","1.37","0.00","0.00","0.00","0.00","0.00","6.30","12.61","12.61","0","0","1","0","0","0","0","1","1","50.00"
"ADAM CRACKNELL","RW","R","2016","DAL","20058","2016-10-20","L.A","DAL","All Situations","10.83","0","0.09","0","0","0","0","0","0.00","0.00","4.49","2","2","3","0.00","0.50","0.00","0.00","0.00","0.00","0.00","11.08","11.08","16.62","1","1","0","0","0","0","2","2","0","100.00"
"ADAM CRACKNELL","RW","R","2016","DAL","20133","2016-11-01","CBJ","CBJ","All Situations","9.28","0","0.04","0","0","0","0","0","","0.00","2.13","0","2","3","0.00","0.28","0.00","0.00","0.00","0.00","0.00","0.00","12.93","19.40","0","0","0","0","0","0","0","4","6","40.00"
"ADAM HENRIQUE","C","L","2016","N.J","20051","2016-10-20","BOS","BOS","All Situations","17.58","0","0.12","0","0","0","0","0","0.00","0.00","5.84","2","2","3","0.00","0.40","0.00","0.00","0.00","0.00","0.00","6.83","6.83","10.24","0","1","1","1","0","0","0","8","7","53.33"
"ADAM HENRIQUE","C","L","2016","N.J","20116","2016-10-29","T.B","N.J","All Situations","18.08","1","0.26","1","1","0","2","2","50.00","50.00","12.81","2","2","2","3.32","0.85","3.32","3.32","0.00","6.64","6.64","6.64","6.64","6.64","2","2","2","0","0","1","0","6","6","50.00"
"ADAM HENRIQUE","C","L","2016","N.J","20019","2016-10-15","T.B","T.B","All Situations","20.87","0","0.1","0","0","0","0","0","0.00","0.00","10.40","1","1","4","0.00","0.30","0.00","0.00","0.00","0.00","0.00","2.87","2.87","11.50","1","1","0","0","0","0","3","4","6","40.00"
"ADAM HENRIQUE","C","L","2016","N.J","20152","2016-11-03","FLA","FLA","All Situations","16.35","0","0.38","0","0","0","0","0","0.00","0.00","12.55","3","3","4","0.00","1.38","0.00","0.00","0.00","0.00","0.00","11.01","11.01","14.68","3","2","0","0","0","1","0","9","8","52.94"
"ADAM HENRIQUE","C","L","2016","N.J","20107","2016-10-28","CHI","N.J","All Situations","21.00","0","0.03","0","0","0","0","0","0.00","0.00","3.24","1","1","2","0.00","0.09","0.00","0.00","0.00","0.00","0.00","2.86","2.86","5.71","0","0","1","0","0","0","2","8","8","50.00"
"ADAM HENRIQUE","C","L","2016","N.J","20084","2016-10-25","ARI","N.J","All Situations","17.17","1","0.45","0","0","0","1","1","25.00","25.00","11.25","4","4","4","3.49","1.57","0.00","0.00","0.00","3.49","3.49","13.98","13.98","13.98","1","1","0","0","0","0","1","11","5","68.75"
"ADAM HENRIQUE","C","L","2016","N.J","20037","2016-10-18","ANA","N.J","All Situations","17.95","0","0.2","0","0","0","0","0","0.00","0.00","9.98","1","2","3","0.00","0.67","0.00","0.00","0.00","0.00","0.00","3.34","6.69","10.03","2","2","1","1","0","2","0","6","7","46.15"
"ADAM HENRIQUE","C","L","2016","N.J","20010","2016-10-13","FLA","FLA","All Situations","20.87","0","0.18","0","0","0","0","0","0.00","0.00","9.11","1","2","3","0.00","0.52","0.00","0.00","0.00","0.00","0.00","2.87","5.75","8.62","0","3","1","0","0","0","1","8","11","42.11"
"ADAM HENRIQUE","C","L","2016","N.J","20069","2016-10-22","MIN","N.J","All Situations","19.48","0","0.07","1","1","0","1","1","","0.00","6.93","0","1","1","0.00","0.21","3.08","3.08","0.00","3.08","3.08","0.00","3.08","3.08","2","3","1","1","0","0","0","6","8","42.86"
"ADAM HENRIQUE","C","L","2016","N.J","20166","2016-11-05","T.B","T.B","All Situations","17.75","0","0.15","0","0","0","0","0","0.00","0.00","7.49","2","2","3","0.00","0.51","0.00","0.00","0.00","0.00","0.00","6.76","6.76","10.14","2","1","0","0","1","1","1","9","9","50.00"
"ADAM LOWRY","C","L","2016","WPG","20024","2016-10-15","MIN","MIN","All Situations","11.48","0","0","0","0","0","0","0","","","","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","1","0","0","0","1","1","7","6","53.85"
"ADAM LOWRY","C","L","2016","WPG","20012","2016-10-13","CAR","WPG","All Situations","18.57","0","0.08","0","0","0","0","0","","0.00","7.94","0","1","1","0.00","0.26","0.00","0.00","0.00","0.00","0.00","0.00","3.23","3.23","1","2","0","1","0","0","1","3","11","21.43"
"ADAM LOWRY","C","L","2016","WPG","20109","2016-10-28","COL","COL","All Situations","18.12","0","0.38","0","0","0","0","0","0.00","0.00","19.00","2","2","2","0.00","1.26","0.00","0.00","0.00","0.00","0.00","6.62","6.62","6.62","2","2","1","0","0","0","0","6","10","37.50"
"ADAM LOWRY","C","L","2016","WPG","20159","2016-11-04","DET","DET","All Situations","14.00","0","0.03","0","0","0","0","0","0.00","0.00","2.56","1","1","1","0.00","0.11","0.00","0.00","0.00","0.00","0.00","4.29","4.29","4.29","3","1","0","0","0","0","1","7","8","46.67"
"ADAM LOWRY","C","L","2016","WPG","20036","2016-10-17","BOS","WPG","All Situations","11.67","0","0.35","0","0","0","0","0","0.00","0.00","17.34","2","2","2","0.00","1.78","0.00","0.00","0.00","0.00","0.00","10.28","10.28","10.28","3","0","1","0","0","0","2","5","9","35.71"
