"Player","Season","GP","Team","Strength","TOI","GA","SA","FA","xGA","CA","GA60","SA60","FA60","xGA60","CA60","Sv%","xFSv%","FSv%","Adj Sv%","Miss%"
"MARC-ANDRE FLEURY","2016","5","PIT","All Situations","304.53","14","174","228","17.06","299","2.76","34.28","44.92","3.36","58.91","91.95","92.52","93.86","1.34","23.68"
"CAM TALBOT","2016","5","EDM","All Situations","289.48","16","167","225","13.6","303","3.32","34.61","46.64","2.82","62.80","90.42","93.95","92.89","-1.06","25.78"
"CORY SCHNEIDER","2016","4","N.J","All Situations","239.97","8","128","187","13.47","242","2.00","32.00","46.76","3.37","60.51","93.75","92.80","95.72","2.92","31.55"
"ROBIN LEHNER","2016","4","BUF","All Situations","238.83","12","111","155","12.05","199","3.01","27.89","38.94","3.03","49.99","89.19","92.23","92.26","0.03","28.39"
"AL MONTOYA","2016","3","MTL","All Situations","185.00","4","105","144","11.06","176","1.30","34.05","46.70","3.59","57.08","96.19","92.32","97.22","4.90","27.08"
"PETR MRAZEK","2016","3","DET","All Situations","178.25","9","104","146","8.56","188","3.03","35.01","49.14","2.88","63.28","91.35","94.14","93.84","-0.30","28.77"
"JOHN GIBSON","2016","4","ANA","All Situations","235.48","11","100","143","10.18","195","2.80","25.48","36.44","2.59","49.69","89.00","92.88","92.31","-0.57","30.07"
"CRAIG ANDERSON","2016","3","OTT","All Situations","185.62","11","97","136","8.61","199","3.56","31.35","43.96","2.78","64.32","88.66","93.67","91.91","-1.76","28.68"
"MARTIN JONES","2016","4","S.J","All Situations","236.78","11","97","145","8.31","209","2.79","24.58","36.74","2.11","52.96","88.66","94.27","92.41","-1.86","33.10"
"SEMYON VARLAMOV","2016","3","COL","All Situations","180.00","8","95","129","7.67","175","2.67","31.67","43.00","2.56","58.33","91.58","94.05","93.80","-0.25","26.36"
"TUUKKA RASK","2016","3","BOS","All Situations","179.37","5","95","123","7.53","179","1.67","31.78","41.14","2.52","59.88","94.74","93.87","95.93","2.06","22.76"
"JAROSLAV HALAK","2016","3","NYI","All Situations","178.45","9","91","122","9.1","178","3.03","30.60","41.02","3.06","59.85","90.11","92.54","92.62","0.08","25.41"
"FREDERIK ANDERSEN","2016","3","TOR","All Situations","183.28","11","89","136","6.62","190","3.60","29.14","44.52","2.17","62.20","87.64","95.13","91.91","-3.22","34.56"
"JAKE ALLEN","2016","4","STL","All Situations","240.97","8","88","132","9.99","197","1.99","21.91","32.87","2.49","49.05","90.91","92.43","93.94","1.51","33.33"
"BRIAN ELLIOTT","2016","3","CGY","All Situations","177.78","14","87","115","9.76","156","4.72","29.36","38.81","3.29","52.65","83.91","91.51","87.83","-3.68","24.35"
"COREY CRAWFORD","2016","3","CHI","All Situations","176.08","10","86","114","7.5","138","3.41","29.30","38.85","2.56","47.02","88.37","93.42","91.23","-2.19","24.56"
"DEVAN DUBNYK","2016","3","MIN","All Situations","178.08","8","81","104","6.96","144","2.70","27.29","35.04","2.35","48.52","90.12","93.31","92.31","-1.00","22.12"
"BRADEN HOLTBY","2016","3","WSH","All Situations","184.43","5","80","113","6.38","156","1.63","26.03","36.76","2.08","50.75","93.75","94.35","95.58","1.23","29.20"
"KARI LEHTONEN","2016","3","DAL","All Situations","152.63","6","80","116","5.77","164","2.36","31.45","45.60","2.27","64.47","92.50","95.02","94.83","-0.19","31.03"
"BEN BISHOP","2016","3","T.B","All Situations","179.40","11","79","111","7.93","134","3.68","26.42","37.12","2.65","44.82","86.08","92.85","90.09","-2.76","28.83"
"ROBERTO LUONGO","2016","3","FLA","All Situations","181.50","6","75","99","5.75","126","1.98","24.79","32.73","1.90","41.65","92.00","94.19","93.94","-0.25","24.24"
"JACOB MARKSTROM","2016","3","VAN","All Situations","182.05","5","74","95","6.84","131","1.65","24.39","31.31","2.26","43.17","93.24","92.79","94.74","1.95","22.11"
"SERGEI BOBROVSKY","2016","2","CBJ","All Situations","117.08","7","73","86","7.79","111","3.59","37.41","44.07","3.99","56.88","90.41","90.94","91.86","0.92","15.12"
"STEVE MASON","2016","3","PHI","All Situations","155.62","9","72","94","8.7","127","3.47","27.76","36.24","3.36","48.97","87.50","90.74","90.43","-0.31","23.40"
"MICHAEL HUTCHINSON","2016","2","WPG","All Situations","119.55","8","71","92","7","119","4.02","35.63","46.17","3.51","59.72","88.73","92.39","91.30","-1.09","22.83"
"HENRIK LUNDQVIST","2016","3","NYR","All Situations","177.33","8","64","95","6.09","132","2.71","21.65","32.14","2.06","44.66","87.50","93.59","91.58","-2.01","32.63"
"JEFF ZATKOFF","2016","3","L.A","All Situations","137.40","10","62","83","5.97","111","4.37","27.07","36.24","2.61","48.47","83.87","92.80","87.95","-4.85","25.30"
"PEKKA RINNE","2016","2","NSH","All Situations","117.80","4","61","88","4.33","125","2.04","31.07","44.82","2.21","63.67","93.44","95.08","95.45","0.37","30.68"
"MIKE SMITH","2016","2","ARI","All Situations","110.20","6","60","85","6.22","108","3.27","32.67","46.28","3.39","58.80","90.00","92.68","92.94","0.26","29.41"
"EDDIE LACK","2016","2","CAR","All Situations","120.32","6","57","78","4.28","104","2.99","28.42","38.90","2.13","51.86","89.47","94.52","92.31","-2.21","26.92"
"ANTTI NIEMI","2016","2","DAL","All Situations","86.98","7","55","75","6.16","93","4.83","37.94","51.74","4.25","64.15","87.27","91.79","90.67","-1.12","26.67"
"CAM WARD","2016","2","CAR","All Situations","120.68","8","54","75","4.61","101","3.98","26.85","37.29","2.29","50.22","85.19","93.86","89.33","-4.53","28.00"
"CHAD JOHNSON","2016","2","CGY","All Situations","127.37","4","52","75","5.63","108","1.88","24.50","35.33","2.65","50.88","92.31","92.49","94.67","2.18","30.67"
"CONNOR HELLEBUYCK","2016","2","WPG","All Situations","121.58","7","51","79","5.12","101","3.45","25.17","38.99","2.53","49.84","86.27","93.52","91.14","-2.38","35.44"
"JONATHAN BERNIER","2016","1","ANA","All Situations","59.27","3","45","52","3.12","62","3.04","45.55","52.64","3.16","62.76","93.33","93.99","94.23","0.24","13.46"
"MICHAL NEUVIRTH","2016","2","PHI","All Situations","85.07","6","41","53","3.35","74","4.23","28.92","37.38","2.36","52.19","85.37","93.67","88.68","-4.99","22.64"
"SCOTT DARLING","2016","1","CHI","All Situations","60.00","3","36","45","4.49","62","3.00","36.00","45.00","4.49","62.00","91.67","90.02","93.33","3.31","20.00"
"CARTER HUTTON","2016","1","STL","All Situations","59.78","2","35","49","3.32","62","2.01","35.13","49.18","3.34","62.23","94.29","93.22","95.92","2.70","28.57"
"ANDREI VASILEVSKIY","2016","1","T.B","All Situations","59.42","2","34","42","2.17","53","2.02","34.33","42.41","2.19","53.52","94.12","94.84","95.24","0.40","19.05"
"JIMMY HOWARD","2016","1","DET","All Situations","60.00","1","33","54","3.06","74","1.00","33.00","54.00","3.06","74.00","96.97","94.33","98.15","3.82","38.89"
"ANTTI RAANTA","2016","1","NYR","All Situations","59.97","4","31","43","2.3","61","4.00","31.02","43.02","2.30","61.03","87.10","94.65","90.70","-3.95","27.91"
