"Player","Season","GP","Team","Strength","TOI","GA","SA","FA","xGA","CA","GA60","SA60","FA60","xGA60","CA60","Sv%","xFSv%","FSv%","Adj Sv%","Miss%"
"CAM TALBOT","2016","11","EDM","All Situations","648.37","25","341","471","31.29","630","2.31","31.56","43.59","2.90","58.30","92.67","93.36","94.69","1.33","27.60"
"MARC-ANDRE FLEURY","2016","10","PIT","All Situations","587.10","30","325","440","31.42","597","3.07","33.21","44.97","3.21","61.01","90.77","92.86","93.18","0.32","26.14"
"FREDERIK ANDERSEN","2016","9","TOR","All Situations","545.22","29","299","416","29.62","566","3.19","32.90","45.78","3.26","62.29","90.30","92.88","93.03","0.15","28.12"
"COREY CRAWFORD","2016","9","CHI","All Situations","538.47","18","281","363","22.88","451","2.01","31.31","40.45","2.55","50.25","93.59","93.70","95.04","1.34","22.59"
"SERGEI BOBROVSKY","2016","8","CBJ","All Situations","475.93","16","270","385","25.98","505","2.02","34.04","48.54","3.28","63.66","94.07","93.25","95.84","2.59","29.87"
"JOHN GIBSON","2016","10","ANA","All Situations","558.03","24","269","385","25.38","509","2.58","28.92","41.40","2.73","54.73","91.08","93.41","93.77","0.36","30.13"
"MARTIN JONES","2016","10","S.J","All Situations","589.53","23","254","375","23.83","540","2.34","25.85","38.17","2.43","54.96","90.94","93.64","93.87","0.23","32.27"
"CORY SCHNEIDER","2016","8","N.J","All Situations","484.25","17","252","348","24.78","438","2.11","31.22","43.12","3.07","54.27","93.25","92.88","95.11","2.23","27.59"
"PETR MRAZEK","2016","8","DET","All Situations","449.92","23","250","329","20.88","430","3.07","33.34","43.87","2.78","57.34","90.80","93.65","93.01","-0.64","24.01"
"PEKKA RINNE","2016","8","NSH","All Situations","460.17","21","248","354","20.83","470","2.74","32.34","46.16","2.72","61.28","91.53","94.12","94.07","-0.05","29.94"
"DEVAN DUBNYK","2016","8","MIN","All Situations","476.80","12","231","311","18.56","412","1.51","29.07","39.14","2.34","51.85","94.81","94.03","96.14","2.11","25.72"
"LOUIS DOMINGUE","2016","8","ARI","All Situations","398.68","24","231","332","23.04","447","3.61","34.76","49.96","3.47","67.27","89.61","93.06","92.77","-0.29","30.42"
"HENRIK LUNDQVIST","2016","9","NYR","All Situations","536.18","20","230","320","16.97","445","2.24","25.74","35.81","1.90","49.80","91.30","94.70","93.75","-0.95","28.12"
"BRADEN HOLTBY","2016","8","WSH","All Situations","486.20","18","228","318","20.27","419","2.22","28.14","39.24","2.50","51.71","92.11","93.63","94.34","0.71","28.30"
"BRIAN ELLIOTT","2016","8","CGY","All Situations","480.63","25","227","321","22.12","444","3.12","28.34","40.07","2.76","55.43","88.99","93.11","92.21","-0.90","29.28"
"CRAIG ANDERSON","2016","7","OTT","All Situations","428.68","16","224","305","16.91","433","2.24","31.35","42.69","2.37","60.60","92.86","94.46","94.75","0.29","26.56"
"JAROSLAV HALAK","2016","7","NYI","All Situations","407.90","20","218","308","20.41","422","2.94","32.07","45.31","3.00","62.07","90.83","93.37","93.51","0.14","29.22"
"JAKE ALLEN","2016","9","STL","All Situations","518.25","22","215","311","20.61","436","2.55","24.89","36.01","2.39","50.48","89.77","93.37","92.93","-0.44","30.87"
"BEN BISHOP","2016","7","T.B","All Situations","418.30","23","211","287","19.47","367","3.30","30.27","41.17","2.79","52.64","89.10","93.22","91.99","-1.23","26.48"
"SEMYON VARLAMOV","2016","7","COL","All Situations","418.05","23","211","269","18.9","380","3.30","30.28","38.61","2.71","54.54","89.10","92.98","91.45","-1.53","21.56"
"ROBIN LEHNER","2016","7","BUF","All Situations","417.37","16","206","283","18.77","368","2.30","29.61","40.68","2.70","52.90","92.23","93.37","94.35","0.98","27.21"
"CAREY PRICE","2016","6","MTL","All Situations","359.17","7","193","263","14.81","383","1.17","32.24","43.93","2.47","63.98","96.37","94.37","97.34","2.97","26.62"
"PETER BUDAJ","2016","9","L.A","All Situations","493.97","19","193","283","16.56","387","2.31","23.44","34.37","2.01","47.01","90.16","94.15","93.29","-0.86","31.80"
"TUUKKA RASK","2016","6","BOS","All Situations","364.30","9","183","242","14","346","1.48","30.14","39.86","2.31","56.99","95.08","94.22","96.28","2.06","24.38"
"ROBERTO LUONGO","2016","7","FLA","All Situations","416.75","16","182","238","15.02","296","2.30","26.20","34.27","2.16","42.62","91.21","93.69","93.28","-0.41","23.53"
"MICHAEL HUTCHINSON","2016","6","WPG","All Situations","335.82","18","181","247","18.96","333","3.22","32.34","44.13","3.39","59.50","90.06","92.32","92.71","0.39","26.72"
"STEVE MASON","2016","8","PHI","All Situations","381.52","22","180","238","20.38","330","3.46","28.31","37.43","3.20","51.90","87.78","91.44","90.76","-0.68","24.37"
"ANTTI NIEMI","2016","6","DAL","All Situations","322.78","18","179","248","15.68","328","3.35","33.27","46.10","2.91","60.97","89.94","93.68","92.74","-0.94","27.82"
"CAM WARD","2016","6","CAR","All Situations","360.22","20","169","232","12.31","295","3.33","28.15","38.64","2.05","49.14","88.17","94.69","91.38","-3.31","27.16"
"JACOB MARKSTROM","2016","6","VAN","All Situations","364.87","13","163","223","16.79","309","2.14","26.80","36.67","2.76","50.81","92.02","92.47","94.17","1.70","26.91"
"CONNOR HELLEBUYCK","2016","6","WPG","All Situations","319.03","14","162","224","15.82","286","2.63","30.47","42.13","2.98","53.79","91.36","92.94","93.75","0.81","27.68"
"MICHAL NEUVIRTH","2016","7","PHI","All Situations","344.62","19","153","218","13.39","303","3.31","26.64","37.95","2.33","52.75","87.58","93.86","91.28","-2.58","29.82"
"RYAN MILLER","2016","5","VAN","All Situations","301.07","9","136","182","10.73","242","1.79","27.10","36.27","2.14","48.23","93.38","94.10","95.05","0.95","25.27"
"AL MONTOYA","2016","4","MTL","All Situations","245.00","6","133","180","12.5","230","1.47","32.57","44.08","3.06","56.33","95.49","93.05","96.67","3.62","26.11"
"THOMAS GREISS","2016","5","NYI","All Situations","250.55","12","131","201","12.36","301","2.87","31.37","48.13","2.96","72.08","90.84","93.85","94.03","0.18","34.83"
"JAMES REIMER","2016","4","FLA","All Situations","248.47","11","120","162","9.47","209","2.66","28.98","39.12","2.29","50.47","90.83","94.16","93.21","-0.95","25.93"
"KARI LEHTONEN","2016","5","DAL","All Situations","272.07","12","120","185","10.93","262","2.65","26.46","40.80","2.41","57.78","90.00","94.09","93.51","-0.58","35.14"
"CHAD JOHNSON","2016","4","CGY","All Situations","246.75","11","119","176","13.58","241","2.67","28.94","42.80","3.30","58.60","90.76","92.28","93.75","1.47","32.39"
"ANDREI VASILEVSKIY","2016","4","T.B","All Situations","240.75","9","116","144","8.02","191","2.24","28.91","35.89","2.00","47.60","92.24","94.43","93.75","-0.68","19.44"
"JIMMY HOWARD","2016","4","DET","All Situations","210.10","3","113","159","9.5","210","0.86","32.27","45.41","2.71","59.97","97.35","94.02","98.11","4.09","28.93"
"ANDERS NILSSON","2016","3","BUF","All Situations","184.20","6","95","145","8.97","181","1.95","30.94","47.23","2.92","58.96","93.68","93.81","95.86","2.05","34.48"
"EDDIE LACK","2016","3","CAR","All Situations","180.27","12","84","120","7.76","156","3.99","27.96","39.94","2.58","51.92","85.71","93.54","90.00","-3.54","30.00"
"CARTER HUTTON","2016","3","STL","All Situations","146.12","6","73","96","7.18","117","2.46","29.98","39.42","2.95","48.04","91.78","92.52","93.75","1.23","23.96"
"SCOTT DARLING","2016","2","CHI","All Situations","124.28","7","70","86","8.09","114","3.38","33.79","41.52","3.91","55.04","90.00","90.59","91.86","1.27","18.60"
"ANTTI RAANTA","2016","2","NYR","All Situations","119.50","5","63","88","4.68","121","2.51","31.63","44.18","2.35","60.75","92.06","94.68","94.32","-0.36","28.41"
