"Player","Position","Handedness","Season","Team","GP","Strength","TOI","Goals","xGoals","Assists","A1","A2","P","P1","iSh%","iFSh%","ixFSh%","iSF","iFen","iCorsi","G60","xG60","A60","A160","A260","P60","P160","iSF60","iFen60","iCorsi60","HF","HA","Takeaways","Giveaways","PEND","PENT","Blocks","Faceoff Wins","Faceoff Losses","Faceoff%"
"ALEX CHIASSON","RW","R","2016","CGY","13","All Situations","160.30","1","1.38","2","1","1","3","2","5.88","4.55","6.29","17","22","24","0.37","0.52","0.75","0.37","0.37","1.12","0.75","6.36","8.23","8.98","18","10","4","4","2","5","2","0","5","0.00"
"CHRIS VANDEVELDE","C","L","2016","PHI","13","All Situations","133.77","2","1.66","1","0","1","3","2","15.38","11.76","9.74","13","17","25","0.90","0.74","0.45","0.00","0.45","1.35","0.90","5.83","7.63","11.21","19","9","3","2","4","0","7","2","4","33.33"
"CLAUDE GIROUX","C","R","2016","PHI","13","All Situations","264.98","3","3.13","11","5","6","14","8","9.09","6.52","6.80","33","46","63","0.68","0.71","2.49","1.13","1.36","3.17","1.81","7.47","10.42","14.27","12","12","5","2","4","1","1","147","137","51.76"
"JAKUB VORACEK","RW","L","2016","PHI","13","All Situations","248.63","6","4.07","7","6","1","13","12","11.76","9.84","6.67","51","61","86","1.45","0.98","1.69","1.45","0.24","3.14","2.90","12.31","14.72","20.75","3","14","4","5","2","4","2","0","4","0.00"
"JOHNNY GAUDREAU","LW","L","2016","CGY","13","All Situations","250.97","2","3.31","5","4","1","7","6","6.45","4.55","7.53","31","44","53","0.48","0.79","1.20","0.96","0.24","1.67","1.43","7.41","10.52","12.67","3","11","2","16","7","0","4","0","0",""
"LANCE BOUMA","LW","L","2016","CGY","13","All Situations","150.78","0","0.88","1","0","1","1","0","0.00","0.00","8.03","8","11","16","0.00","0.35","0.40","0.00","0.40","0.40","0.00","3.18","4.38","6.37","33","14","3","2","4","1","9","0","1","0.00"
"MATT READ","RW","R","2016","PHI","13","All Situations","192.93","6","2.8","1","0","1","7","6","23.08","19.35","9.04","26","31","37","1.87","0.87","0.31","0.00","0.31","2.18","1.87","8.09","9.64","11.51","24","21","4","5","2","0","8","0","4","0.00"
"MATT STAJAN","C","L","2016","CGY","13","All Situations","166.27","0","0.97","4","4","0","4","4","0.00","0.00","5.13","14","19","25","0.00","0.35","1.44","1.44","0.00","1.44","1.44","5.05","6.86","9.02","9","11","2","4","2","2","12","74","52","58.73"
"MICHAEL FROLIK","RW","L","2016","CGY","13","All Situations","199.97","5","2.23","4","2","2","9","7","16.13","12.82","5.73","31","39","51","1.50","0.67","1.20","0.60","0.60","2.70","2.10","9.30","11.70","15.30","9","7","8","4","1","2","9","5","3","62.50"
"MICHEAL FERLAND","LW","L","2016","CGY","13","All Situations","145.42","2","1.65","4","2","2","6","4","11.11","8.33","6.88","18","24","32","0.83","0.68","1.65","0.83","0.83","2.48","1.65","7.43","9.90","13.20","27","12","5","8","1","1","2","0","0",""
"MIKAEL BACKLUND","C","L","2016","CGY","13","All Situations","219.67","1","2.39","6","5","1","7","6","3.70","3.03","7.25","27","33","37","0.27","0.65","1.64","1.37","0.27","1.91","1.64","7.37","9.01","10.11","6","6","4","9","2","0","14","110","101","52.13"
"PIERRE-EDOUARD BELLEMARE","LW","L","2016","PHI","13","All Situations","175.97","0","0.78","2","2","0","2","2","0.00","0.00","3.74","14","21","26","0.00","0.27","0.68","0.68","0.00","0.68","0.68","4.77","7.16","8.87","10","13","2","2","2","0","11","75","70","51.72"
"SAM BENNETT","C","L","2016","CGY","13","All Situations","189.63","3","2.24","4","0","4","7","3","17.65","11.54","8.60","17","26","33","0.95","0.71","1.27","0.00","1.27","2.21","0.95","5.38","8.23","10.44","28","6","6","5","6","10","1","62","71","46.62"
"SEAN COUTURIER","C","L","2016","PHI","13","All Situations","240.45","3","2.64","2","0","2","5","3","13.64","8.57","7.53","22","35","44","0.75","0.66","0.50","0.00","0.50","1.25","0.75","5.49","8.73","10.98","11","28","7","6","0","5","8","110","109","50.23"
"SEAN MONAHAN","C","L","2016","CGY","13","All Situations","247.03","4","3.43","0","0","0","4","4","17.39","11.11","9.54","23","36","47","0.97","0.83","0.00","0.00","0.00","0.97","0.97","5.59","8.74","11.42","6","4","6","10","0","3","5","131","116","53.04"
