"Player","Position","Handedness","Season","Team","GP","Strength","TOI","Goals","xGoals","Assists","A1","A2","P","P1","iSh%","iFSh%","ixFSh%","iSF","iFen","iCorsi","G60","xG60","A60","A160","A260","P60","P160","iSF60","iFen60","iCorsi60","HF","HA","Takeaways","Giveaways","PEND","PENT","Blocks","Faceoff Wins","Faceoff Losses","Faceoff%"
"BRENT BURNS","D","R","2016","S.J","22","All Situations","526.78","8","5.71","12","6","6","20","14","8.60","6.20","4.43","93","129","193","0.91","0.65","1.37","0.68","0.68","2.28","1.59","10.59","14.69","21.98","21","17","12","43","4","2","40","0","0",""
"ALEX OVECHKIN","LW","R","2016","WSH","21","All Situations","385.63","12","8.89","6","5","1","18","17","13.95","9.60","7.11","86","125","169","1.87","1.38","0.93","0.78","0.16","2.80","2.65","13.38","19.45","26.29","54","19","12","11","3","9","6","0","1","0.00"
"JAKUB VORACEK","RW","L","2016","PHI","22","All Situations","427.12","7","6.8","10","8","2","17","15","8.97","6.80","6.60","78","103","142","0.98","0.96","1.40","1.12","0.28","2.39","2.11","10.96","14.47","19.95","8","29","6","12","4","6","3","0","4","0.00"
"TYLER SEGUIN","C","R","2016","DAL","22","All Situations","414.85","7","7.42","14","11","3","21","18","8.97","6.48","6.87","78","108","127","1.01","1.07","2.02","1.59","0.43","3.04","2.60","11.28","15.62","18.37","20","5","9","10","3","5","5","146","130","52.90"
"AUSTON MATTHEWS","C","L","2016","TOR","21","All Situations","364.32","9","10.24","8","6","2","17","15","11.69","8.41","9.57","77","107","127","1.48","1.69","1.32","0.99","0.33","2.80","2.47","12.68","17.62","20.92","3","39","20","12","7","0","12","104","109","48.83"
"VLADIMIR TARASENKO","RW","L","2016","STL","22","All Situations","405.50","9","8.16","13","8","5","22","17","11.69","8.41","7.62","77","107","147","1.33","1.21","1.92","1.18","0.74","3.26","2.52","11.39","15.83","21.75","4","17","13","7","4","1","9","0","1","0.00"
"PATRICK KANE","RW","L","2016","CHI","23","All Situations","508.02","8","6","15","10","5","23","18","10.81","8.51","6.38","74","94","126","0.94","0.71","1.77","1.18","0.59","2.72","2.13","8.74","11.10","14.88","9","28","9","8","10","5","2","4","12","25.00"
"JAMES NEAL","LW","L","2016","NSH","20","All Situations","385.87","10","7.44","5","4","1","15","14","13.70","11.36","8.45","73","88","117","1.55","1.16","0.78","0.62","0.16","2.33","2.18","11.35","13.68","18.19","25","19","13","11","9","3","9","1","1","50.00"
"NATHAN MACKINNON","C","R","2016","COL","20","All Situations","404.65","5","7.85","10","8","2","15","13","6.85","5.00","7.85","73","100","123","0.74","1.16","1.48","1.19","0.30","2.22","1.93","10.82","14.83","18.24","15","20","11","8","4","0","6","195","171","53.28"
"JEFF CARTER","C","R","2016","L.A","22","All Situations","404.12","10","6.24","9","7","2","19","17","13.89","10.42","6.50","72","96","130","1.48","0.93","1.34","1.04","0.30","2.82","2.52","10.69","14.25","19.30","23","18","7","10","2","4","9","217","174","55.50"
"JOE PAVELSKI","C","R","2016","S.J","22","All Situations","429.30","7","9.02","13","11","2","20","18","9.86","6.60","8.51","71","106","130","0.98","1.26","1.82","1.54","0.28","2.80","2.52","9.92","14.81","18.17","40","23","13","24","6","8","25","131","107","55.04"
"LOGAN COUTURE","C","L","2016","S.J","22","All Situations","405.22","7","8.59","5","4","1","12","11","10.00","7.78","9.55","70","90","122","1.04","1.27","0.74","0.59","0.15","1.78","1.63","10.36","13.33","18.06","8","27","11","23","2","1","15","86","151","36.29"
"TYLER TOFFOLI","C","R","2016","L.A","22","All Situations","404.03","5","7.35","9","5","4","14","10","7.14","5.00","7.35","70","100","130","0.74","1.09","1.34","0.74","0.59","2.08","1.49","10.40","14.85","19.31","27","33","6","12","2","0","2","0","2","0.00"
"COREY PERRY","RW","R","2016","ANA","22","All Situations","420.12","4","9.56","14","9","5","18","13","5.80","4.21","10.07","69","95","108","0.57","1.37","2.00","1.29","0.71","2.57","1.86","9.85","13.57","15.42","20","22","7","3","10","6","7","0","4","0.00"
"PATRICE BERGERON","C","R","2016","BOS","18","All Situations","334.67","3","6.58","2","2","0","5","5","4.41","3.19","7.00","68","94","109","0.54","1.18","0.36","0.36","0.00","0.90","0.90","12.19","16.85","19.54","13","14","6","4","1","2","13","252","165","60.43"
"JORDAN EBERLE","C","R","2016","EDM","22","All Situations","395.75","7","7.6","10","3","7","17","10","10.45","8.05","8.73","67","87","116","1.06","1.15","1.52","0.45","1.06","2.58","1.52","10.16","13.19","17.59","6","19","6","5","7","3","6","2","1","66.67"
"BLAKE WHEELER","RW","R","2016","WPG","23","All Situations","469.63","7","6.8","8","8","0","15","15","10.61","8.14","7.91","66","86","104","0.89","0.87","1.02","1.02","0.00","1.92","1.92","8.43","10.99","13.29","41","34","11","17","8","6","11","17","21","44.74"
"DYLAN LARKIN","C","L","2016","DET","22","All Situations","370.93","6","4.15","1","0","1","7","6","9.09","7.32","5.06","66","82","106","0.97","0.67","0.16","0.00","0.16","1.13","0.97","10.68","13.26","17.15","11","26","25","18","5","7","6","44","58","43.14"
"JEFF SKINNER","LW","L","2016","CAR","19","All Situations","355.10","8","7.44","9","5","4","17","13","12.12","8.70","8.09","66","92","125","1.35","1.26","1.52","0.84","0.68","2.87","2.20","11.15","15.54","21.12","10","19","22","10","8","4","7","4","8","33.33"
"RICK NASH","RW","L","2016","NYR","22","All Situations","355.32","9","8.09","5","4","1","14","13","13.85","11.39","10.23","65","79","95","1.52","1.37","0.84","0.68","0.17","2.36","2.20","10.98","13.34","16.04","13","20","17","16","7","5","15","0","0",""
"RYAN NUGENT-HOPKINS","C","L","2016","EDM","22","All Situations","390.15","3","5.89","7","5","2","10","8","4.62","3.66","7.18","65","82","112","0.46","0.91","1.08","0.77","0.31","1.54","1.23","10.00","12.61","17.22","13","13","10","2","3","2","4","155","174","47.11"
"TOREY KRUG","D","L","2016","BOS","21","All Situations","449.67","1","3.14","5","4","1","6","5","1.54","1.16","3.66","65","86","135","0.13","0.42","0.67","0.53","0.13","0.80","0.67","8.67","11.48","18.01","22","29","4","13","0","3","16","0","0",""
"JOHN TAVARES","C","L","2016","NYI","20","All Situations","407.92","5","9.76","10","5","5","15","10","7.94","5.81","11.35","63","86","115","0.74","1.44","1.47","0.74","0.74","2.21","1.47","9.27","12.65","16.92","10","18","14","12","4","9","6","209","184","53.18"
"CONNOR MCDAVID","C","L","2016","EDM","22","All Situations","464.25","10","8.94","18","10","8","28","20","16.13","12.20","10.90","62","82","108","1.29","1.16","2.33","1.29","1.03","3.62","2.58","8.01","10.60","13.96","4","38","15","13","12","4","7","128","169","43.10"
"EVGENI MALKIN","C","L","2016","PIT","22","All Situations","415.82","8","6.38","13","7","6","21","15","12.90","9.76","7.78","62","82","106","1.15","0.92","1.88","1.01","0.87","3.03","2.16","8.95","11.83","15.30","12","25","13","20","6","14","11","150","180","45.45"
"MIKE HOFFMAN","LW","L","2016","OTT","19","All Situations","325.17","4","6.03","7","6","1","11","10","6.45","5.00","7.54","62","80","115","0.74","1.11","1.29","1.11","0.18","2.03","1.85","11.44","14.76","21.22","12","13","11","10","2","6","8","1","2","33.33"
"PATRIC HORNQVIST","RW","R","2016","PIT","16","All Situations","255.25","5","7.12","8","6","2","13","11","8.06","6.67","9.49","62","75","88","1.18","1.67","1.88","1.41","0.47","3.06","2.59","14.57","17.63","20.69","41","20","9","1","2","1","19","1","4","20.00"
"TAYLOR HALL","LW","L","2016","N.J","14","All Situations","289.67","5","7.62","7","4","3","12","9","8.06","6.49","9.89","62","77","94","1.04","1.58","1.45","0.83","0.62","2.49","1.86","12.84","15.95","19.47","14","38","9","6","4","2","7","1","2","33.33"
"AARON EKBLAD","D","R","2016","FLA","21","All Situations","484.95","5","3.58","0","0","0","5","5","8.20","6.02","4.31","61","83","129","0.62","0.44","0.00","0.00","0.00","0.62","0.62","7.55","10.27","15.96","43","30","9","13","8","9","18","0","0",""
"ARTEMI PANARIN","C","R","2016","CHI","23","All Situations","448.08","8","5.82","13","6","7","21","14","13.11","9.30","6.77","61","86","118","1.07","0.78","1.74","0.80","0.94","2.81","1.87","8.17","11.52","15.80","7","27","15","12","9","4","3","1","0","100.00"
"CAM ATKINSON","RW","R","2016","CBJ","20","All Situations","362.22","8","7.73","12","8","4","20","16","13.11","10.00","9.66","61","80","108","1.33","1.28","1.99","1.33","0.66","3.31","2.65","10.10","13.25","17.89","8","8","8","2","2","2","8","2","0","100.00"
"DANIEL SEDIN","LW","L","2016","VAN","22","All Situations","410.73","6","6.17","7","5","2","13","11","9.84","7.50","7.71","61","80","94","0.88","0.90","1.02","0.73","0.29","1.90","1.61","8.91","11.69","13.73","7","17","8","5","8","3","7","0","0",""
"DOUGIE HAMILTON","D","R","2016","CGY","23","All Situations","436.30","2","2.61","7","5","2","9","7","3.28","2.53","3.30","61","79","110","0.28","0.36","0.96","0.69","0.28","1.24","0.96","8.39","10.86","15.13","36","14","3","13","1","10","23","0","0",""
"RADIM VRBATA","RW","R","2016","ARI","19","All Situations","327.52","6","4.32","7","4","3","13","10","9.84","7.32","5.26","61","82","106","1.10","0.79","1.28","0.73","0.55","2.38","1.83","11.17","15.02","19.42","14","7","11","6","3","2","3","7","5","58.33"
"VIKTOR ARVIDSSON","LW","R","2016","NSH","20","All Situations","304.28","6","5.12","7","2","5","13","8","9.84","7.69","6.57","61","78","96","1.18","1.01","1.38","0.39","0.99","2.56","1.58","12.03","15.38","18.93","8","46","6","8","7","4","9","2","1","66.67"
"COLTON PARAYKO","D","R","2016","STL","22","All Situations","461.90","0","2.39","11","5","6","11","5","0.00","0.00","2.99","60","80","117","0.00","0.31","1.43","0.65","0.78","1.43","0.65","7.79","10.39","15.20","15","51","10","13","3","6","38","0","0",""
"DUSTIN BYFUGLIEN","D","R","2016","WPG","23","All Situations","641.62","2","3.77","10","8","2","12","10","3.33","2.08","3.92","60","96","141","0.19","0.35","0.94","0.75","0.19","1.12","0.94","5.61","8.98","13.19","61","21","19","28","3","16","38","0","0",""
"ERIC STAAL","C","L","2016","MIN","21","All Situations","402.63","5","6.38","11","8","3","16","13","8.33","6.41","8.17","60","78","105","0.75","0.95","1.64","1.19","0.45","2.38","1.94","8.94","11.62","15.65","14","18","18","6","7","3","5","191","181","51.34"
"JAMES VAN RIEMSDYK","LW","L","2016","TOR","21","All Situations","328.17","9","8.59","9","4","5","18","13","15.00","12.33","11.76","60","73","93","1.65","1.57","1.65","0.73","0.91","3.29","2.38","10.97","13.35","17.00","24","18","10","6","6","3","12","1","2","33.33"
"BRENDAN GALLAGHER","RW","R","2016","MTL","22","All Situations","337.55","5","7.97","7","4","3","12","9","8.47","6.25","9.96","59","80","106","0.89","1.42","1.24","0.71","0.53","2.13","1.60","10.49","14.22","18.84","26","34","10","4","8","7","7","19","22","46.34"
"MAX PACIORETTY","LW","L","2016","MTL","22","All Situations","392.38","5","5.52","9","4","5","14","9","8.47","5.21","5.75","59","96","131","0.76","0.84","1.38","0.61","0.76","2.14","1.38","9.02","14.68","20.03","23","50","17","15","5","6","9","0","0",""
"NIKITA KUCHEROV","RW","L","2016","T.B","21","All Situations","389.77","11","6.24","15","9","6","26","20","18.64","12.09","6.85","59","91","124","1.69","0.96","2.31","1.39","0.92","4.00","3.08","9.08","14.01","19.09","5","27","19","15","5","4","11","0","0",""
"PATRIK LAINE","RW","R","2016","WPG","23","All Situations","424.62","12","4.84","6","3","3","18","15","20.34","15.38","6.21","59","78","104","1.70","0.68","0.85","0.42","0.42","2.54","2.12","8.34","11.02","14.70","22","24","9","26","2","3","11","0","2","0.00"
"SHAYNE GOSTISBEHERE","D","L","2016","PHI","21","All Situations","438.53","4","4.07","7","2","5","11","6","6.78","4.21","4.28","59","95","140","0.55","0.56","0.96","0.27","0.68","1.51","0.82","8.07","13.00","19.15","8","17","6","20","3","6","25","0","0",""
"SIDNEY CROSBY","C","L","2016","PIT","16","All Situations","307.05","15","7.46","5","5","0","20","20","25.42","20.55","10.22","59","73","85","2.93","1.46","0.98","0.98","0.00","3.91","3.91","11.53","14.26","16.61","21","21","7","18","4","3","5","180","190","48.65"
"KRIS LETANG","D","R","2016","PIT","17","All Situations","443.65","2","3.83","10","6","4","12","8","3.45","2.63","5.04","58","76","108","0.27","0.52","1.35","0.81","0.54","1.62","1.08","7.84","10.28","14.61","34","30","14","21","6","7","33","0","0",""
"NAZEM KADRI","C","L","2016","TOR","21","All Situations","332.47","9","7.58","7","1","6","16","10","15.52","11.11","9.36","58","81","113","1.62","1.37","1.26","0.18","1.08","2.89","1.80","10.47","14.62","20.39","30","46","20","11","9","13","9","135","153","46.88"
"SHEA WEBER","D","R","2016","MTL","22","All Situations","567.67","8","2.92","10","3","7","18","11","13.79","9.52","3.47","58","84","125","0.85","0.31","1.06","0.32","0.74","1.90","1.16","6.13","8.88","13.21","53","29","2","32","0","6","48","0","0",""
"STEVEN STAMKOS","C","R","2016","T.B","17","All Situations","303.90","9","6.07","11","9","2","20","18","15.52","11.84","7.98","58","76","100","1.78","1.20","2.17","1.78","0.39","3.95","3.55","11.45","15.00","19.74","21","14","15","6","3","7","3","106","91","53.81"
"ALEX PIETRANGELO","D","R","2016","STL","22","All Situations","558.53","4","2.21","7","4","3","11","8","7.02","5.33","2.95","57","75","95","0.43","0.24","0.75","0.43","0.32","1.18","0.86","6.12","8.06","10.21","14","29","18","6","2","6","42","0","0",""
"MITCHELL MARNER","C","R","2016","TOR","21","All Situations","352.78","7","7.21","11","6","5","18","13","12.28","8.43","8.68","57","83","103","1.19","1.23","1.87","1.02","0.85","3.06","2.21","9.69","14.12","17.52","12","22","21","17","4","6","15","6","5","54.55"
